Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-01,00,,31 °C,—,28 °C,0 mm,—,,14.8 km/h,—,1007 hPa,84 %
2024-05-01,01,,30 °C,—,28 °C,0 mm,—,,14.8 km/h,—,1007 hPa,89 %
2024-05-01,02,,30 °C,—,28 °C,0 mm,—,,13 km/h,—,1006 hPa,89 %
2024-05-01,03,,30 °C,—,28 °C,0 mm,—,,14.8 km/h,—,1006 hPa,89 %
2024-05-01,04,,30 °C,—,28 °C,0 mm,—,,14.8 km/h,—,1006 hPa,89 %
2024-05-01,05,,30 °C,—,28 °C,0 mm,—,,11 km/h,—,1006 hPa,89 %
2024-05-01,06,,30 °C,—,28 °C,0 mm,—,,11 km/h,—,1007 hPa,89 %
2024-05-01,07,,31 °C,—,28 °C,0 mm,—,,7 km/h,—,1007 hPa,84 %
2024-05-01,08,,33 °C,—,27 °C,0 mm,—,,6 km/h,—,1008 hPa,71 %
2024-05-01,09,,33 °C,—,25 °C,0 mm,—,,7 km/h,—,1008 hPa,63 %
2024-05-01,10,,35 °C,—,22 °C,0 mm,—,,9 km/h,—,1007 hPa,47 %
2024-05-01,11,,36 °C,—,21.8 °C,0 mm,—,,9 km/h,—,1006 hPa,44 %
2024-05-01,12,,37 °C,—,22 °C,0 mm,—,,6 km/h,—,1006 hPa,42 %
2024-05-01,13,,38 °C,—,22.1 °C,0 mm,—,,7 km/h,—,1004 hPa,40 %
2024-05-01,14,,37 °C,—,23.1 °C,0 mm,—,,13 km/h,—,1003 hPa,45 %
2024-05-01,15,,37 °C,—,24.2 °C,0 mm,—,,11 km/h,—,1003 hPa,48 %
2024-05-01,16,,36 °C,—,23.9 °C,0 mm,—,,17 km/h,—,1003 hPa,50 %
2024-05-01,17,,36 °C,—,23.9 °C,0 mm,—,,15 km/h,—,1003 hPa,50 %
2024-05-01,18,,34 °C,—,23.1 °C,0 mm,—,,13 km/h,—,1004 hPa,53 %
2024-05-01,19,,32 °C,—,24.1 °C,0 mm,—,,22 km/h,—,1004 hPa,63 %
2024-05-01,20,,32 °C,—,26.1 °C,0 mm,—,,20 km/h,—,1004 hPa,71 %
2024-05-01,21,,31 °C,—,26.9 °C,0 mm,—,,15 km/h,—,1006 hPa,79 %
2024-05-01,22,,31 °C,—,26.9 °C,0 mm,—,,17 km/h,—,1007 hPa,79 %
2024-05-01,23,,31 °C,—,26.9 °C,0 mm,—,,15 km/h,—,1007 hPa,79 %
2024-05-02,00,,31 °C,—,28 °C,0 mm,—,,15 km/h,—,1007 hPa,84 %
2024-05-02,01,,31 °C,—,26.9 °C,0 mm,—,,11 km/h,—,1007 hPa,79 %
2024-05-02,02,,30 °C,—,28 °C,0 mm,—,,15 km/h,—,1006 hPa,89 %
2024-05-02,03,,30 °C,—,27 °C,0 mm,—,,15 km/h,—,1006 hPa,84 %
2024-05-02,04,,30 °C,—,28 °C,0 mm,—,,15 km/h,—,1006 hPa,89 %
2024-05-02,05,,30 °C,—,28 °C,0.1 mm,—,,11.2 km/h,—,1008 hPa,89 %
2024-05-02,06,,30 °C,—,27 °C,0.1 mm,—,,11.2 km/h,—,1008 hPa,84 %
2024-05-02,07,,31 °C,—,26.9 °C,0 mm,—,,13 km/h,—,1009 hPa,79 %
2024-05-02,08,,32 °C,—,26.1 °C,0.7 mm,—,,13 km/h,—,1009 hPa,71 %
